DISTRICT,Synthetic_Elevation
ACHHAM,486
ARGHAKHANCHI,1531
BAGLUNG,3679
BAITADI,3079
BAJHANG,1104
BAJURA,409
BANKE,2802
BARA,1752
BARDIYA,2918
BHAKTAPUR,1466
BHOJPUR,2986
CHITAWAN,2194
DADELDHURA,2667
DAILEKH,3121
DANG,480
DARCHULA,277
DHADING,1691
DHANKUTA,2525
DHANUSHA,645
DOLAKHA,3591
DOLPA,181
DOTI,1457
GORKHA,422
GULMI,1034
HUMLA,3697
ILAM,2697
JAJARKOT,1150
JHAPA,1604
JUMLA,3251
KABHREPALANCHOK,3146
KAILALI,2167
KALIKOT,1421
KANCHANPUR,542
KAPILBASTU,655
KASKI,1132
KATHMANDU,3251
KHOTANG,922
LALITPUR,180
LAMJUNG,949
MAHOTTARI,1266
MAKAWANPUR,106
MANANG,303
MORANG,833
MUGU,3349
MUSTANG,1860
MYAGDI,179
NAWALPARASI_E,3795
NAWALPARASI_W,1306
NUWAKOT,636
OKHALDHUNGA,2709
PALPA,2072
PANCHTHAR,2710
PARBAT,3261
PARSA,3682
PYUTHAN,1605
RAMECHHAP,2515
RASUWA,1004
RAUTAHAT,2218
ROLPA,3476
RUKUM_E,705
RUKUM_W,2401
RUPANDEHI,1147
SALYAN,2122
SANKHUWASABHA,1461
SAPTARI,3221
SARLAHI,3168
SINDHULI,564
SINDHUPALCHOK,2370
SIRAHA,141
SOLUKHUMBU,3599
SUNSARI,2881
SURKHET,678
SYANGJA,2783
TANAHU,1736
TAPLEJUNG,391
TERHATHUM,3364
UDAYAPUR,2197
